Codes,Data,DT,Discounted Trade
Codes,Data,De,Delivery or Conversion Action
Codes,Data,ETF,Création ou sortie d'ETF
Codes,Data,Ep,Résulte d'une position ayant expiré
Codes,Data,Ex,Exercice
Codes,Data,FP,The fractional portion of this trade was executed against IB or an affiliate.
Codes,Data,FPA,The fractional portion of this trade was executed against IB or an affiliate. IB acted as agent for the whole share portion of this trade.
Codes,Data,G,Trader sur le segment de compte garanti
Codes,Data,GEA,Exercice ou attribution résultant de la compensation de positions
Codes,Data,HC,Choix de l'assiette imposable sur les coûts les plus élevés
Codes,Data,HFI,Investissement transféré vers un Hedge Fund
Codes,Data,HFR,Remboursement Hedge Fund
Codes,Data,I,Transfert interne
Codes,Data,IA,The transaction was executed against IB or an affiliate
Codes,Data,IM,A portion of the order was executed against IB or an affiliate; IB acted as agent on a portion.
Codes,Data,INV,Transfert d'investissement en provenance de l'investisseur
Codes,Data,IPO,Cette transaction a été exécutée dans le cadre d'une introduction en Bourse dans laquelle IB faisait partie du groupe vendeur et est considérée comme une transaction principale.
Codes,Data,L,Effectuée par IB (Violation de marge)
Codes,Data,LD,Ajusté pour perte non admissible de vente fictive
Codes,Data,LF,Liquidation of fractional position by IB
Codes,Data,LI,"Dernier Entré, Premier Sorti (LIFO)"
Codes,Data,LT,P/L à long terme
Codes,Data,Lo,Prêt direct
Codes,Data,M,Entrée manuelle par IB
Codes,Data,MEx,Exercice manuel pour les recommandations liées aux dividendes.
Codes,Data,ML,Maximiser les pertes à des fins d'imposition
Codes,Data,MLG,Choix de la méthode d'imposition Augmentation des gains à long terme
Codes,Data,MLL,Choix de la méthode d'imposition Augmentation des pertes à long terme
Codes,Data,MSG,Choix de la méthode d'imposition Augmentation des gains à court terme
Codes,Data,MSL,Choix de la méthode d'imposition Augmentation des pertes à court terme
Codes,Data,O,Ouverture de position
Codes,Data,Off,Yes and No contracts offset to $1.00 cash settlement
Codes,Data,P,Exécution partielle
Codes,Data,PE,Perpetual Investment
Codes,Data,PI,Amélioration de prix
Codes,Data,PTA,Post Trade Allocation
Codes,Data,Po,Ajout à intérêts ou dividendes accumulés
Codes,Data,Pr,Une partie ou la totalité de cette transaction a été exécutée par la Bourse comme une opération de crossing menée par IB auprès d'une filiale IB. IB est donc considéré comme donneur d'ordre pour la transaction et non comme agent.
Codes,Data,R,Réinvestissement des dividendes
Codes,Data,RED,Remboursement à l'investisseur
Codes,Data,RI,Investissement récurrent
Codes,Data,RP,"IB a git en tant qu'agent pour la partie en fractions d'actions de cette transaction, qui a été exécutée par une société affiliée d'IB en tant qu'opérateur de capital sans risque."
Codes,Data,RPA,IB a agit en tant qu'agent pour le partie en fractions d'actions et la partie en actions entières de cette transaction ; la partie en fractions d'actions a été exécutée par une société affiliée d'IB en tant qu'opérateur de capital sans risque.
Codes,Data,Rb,Rebill
Codes,Data,Re,Extourne des intérêts ou dividendes cumulés
Codes,Data,Ri,Remboursement
Codes,Data,S0,Contract settled to zero value
Codes,Data,S1,Contract settled to $1.00
Codes,Data,SF,Trade is subject to IBKR Lite Surcharge Fee if volume of such trades exceeds 10% of the total monthly Lite trade volume
Codes,Data,SI,Cet ordre a été sollicité par Interactive Brokers.
Codes,Data,SL,Choix de l'unité pour le récapitulatif fiscal
Codes,Data,SO,Cet ordre a été marqué comme sollicité par votre courtier introducteur.
Codes,Data,SS,"Le client a demandé un règlement anticipé pour cet ordre, qui sera donc exécuté à un prix supérieur au cours actuel."
Codes,Data,ST,P/L à court terme
Codes,Data,T,Transfert
Codes,Data,Un,"Actions dont les droits ne sont pas acquis, du programme d'attribution d'actions"
Codes,Data,XCH,Mutual Fund Exchange Transaction
