name;isin;quantity;buyingPrice;lastPrice;intradayVariation;amount;amountVariation;variation
TOTALENERGIES;FR0000120271;4,00;53,03;53,51;-2,78;214,04;1,91;0,90
"SCHNEIDER ELECTRIC";FR0000121972;2,00;227,05;244,45;1,58;488,90;34,80;7,66
SANOFI;FR0000120578;4,00;86,78;82,75;0,56;331,00;-16,10;-4,64
LVMH;FR0000121014;1,00;515,19;629,30;-2,34;629,30;114,11;22,15
"AMUNDI PEA US TECH SCREENED UCITS ETF - ACC";FR0013412269;81,00;56,56;67,48;0,85;"5 466,04";884,80;19,31
"AMUNDI PEA INDE (MSCI INDIA) UCITS ETF ACC";FR0011869320;27,00;26,22;25,13;-0,44;678,40;-29,56;-4,18
"AMUNDI PEA ASIE EMERGENTE (MSCI EMERGING ASIA) SCREENED UCITS ETF";FR0013412012;70,00;25,35;31,73;0,10;"2 221,10";446,86;25,19
"AMUNDI MSCI USA DAILY (2X) LEVERAGED UCITS ETF ACC";FR0010755611;49,00;21,87;25,79;1,00;"1 263,71";191,85;17,90
"AIR LIQUIDE";FR0000120073;2,00;172,24;155,94;-0,98;311,88;-32,60;-9,46
